date,opponent,tournament,japan_score,opponent_score,result,venue,manager,scorers,notes
2003-06-18,New Zealand,Confederations Cup,3,0,W,"Saint-Denis, France",,,
2003-06-20,France,Confederations Cup,1,2,L,"Saint-Étienne, France",,,
2003-06-22,Colombia,Confederations Cup,0,1,L,"Saint-Étienne, France",,,
2003-08-20,Nigeria,Friendly,3,0,W,"Tokyo, Japan",,,
2003-09-10,Senegal,Friendly,0,1,L,"Niigata, Japan",,,
2003-10-08,Tunisia,Friendly,1,0,W,"Tunis, Tunisia",,,
2003-10-11,Romania,Friendly,1,1,D,"Bucharest, Romania",,,
2003-11-19,Cameroon,Friendly,0,0,D,"Ōita, Japan",,,
2003-12-04,China,EAFF Championship,2,0,W,"Tokyo, Japan",,,
2003-12-10,South Korea,EAFF Championship,0,0,D,"Yokohama, Japan",,,
2004-02-07,Malaysia,Friendly,4,0,W,"Kashima, Japan",,,
2004-02-12,Iraq,Friendly,2,0,W,"Tokyo, Japan",,,
2004-02-18,Oman,FIFA World Cup qualification,1,0,W,"Saitama, Japan",,,
2004-03-31,Singapore,FIFA World Cup qualification,2,1,W,"Singapore, Singapore",,,
2004-04-25,Hungary,Friendly,2,3,L,"Zalaegerszeg, Hungary",,,
2004-04-28,Czech Republic,Friendly,1,0,W,"Prague, Czech Republic",,,
2004-05-30,Iceland,Friendly,3,2,W,"Manchester, England",,,
2004-06-01,England,Friendly,1,1,D,"Manchester, England",,,
2004-06-09,India,FIFA World Cup qualification,7,0,W,"Saitama, Japan",,,
2004-07-09,Slovakia,Kirin Cup,3,1,W,"Hiroshima, Japan",,,
2004-07-13,Serbia,Kirin Cup,1,0,W,"Yokohama, Japan",,,
2004-07-20,Oman,AFC Asian Cup,1,0,W,"Chongqing, China",,,
2004-07-24,Thailand,AFC Asian Cup,4,1,W,"Chongqing, China",,,
2004-07-28,Iran,AFC Asian Cup,0,0,D,"Chongqing, China",,,
2004-07-31,Jordan,AFC Asian Cup,1,1,D,"Chongqing, China",,,
2004-08-03,Bahrain,AFC Asian Cup,4,3,W,"Jinan, China",,,
2004-08-07,China,AFC Asian Cup,3,1,W,"Beijing, China",,,
2004-08-18,Argentina,Friendly,1,2,L,"Fukuroi, Japan",,,
2004-09-08,India,FIFA World Cup qualification,4,0,W,"Calcutta, India",,,
2004-10-13,Oman,FIFA World Cup qualification,1,0,W,"Muscat, Oman",,,
2004-11-17,Singapore,FIFA World Cup qualification,1,0,W,"Saitama, Japan",,,
2004-12-16,Germany,Friendly,0,3,L,"Yokohama, Japan",,,
2005-01-29,Kazakhstan,Friendly,4,0,W,"Yokohama, Japan",,,
2005-02-02,Syria,Friendly,3,0,W,"Saitama, Japan",,,
2005-02-09,North Korea,FIFA World Cup qualification,2,1,W,"Saitama, Japan",,,
2005-03-25,Iran,FIFA World Cup qualification,1,2,L,"Tehran, Iran",,,
2005-03-30,Bahrain,FIFA World Cup qualification,1,0,W,"Saitama, Japan",,,
2005-05-22,Peru,Kirin Cup,0,1,L,"Niigata, Japan",,,
2005-05-27,United Arab Emirates,Kirin Cup,0,1,L,"Tokyo, Japan",,,
2005-06-03,Bahrain,FIFA World Cup qualification,1,0,W,"Riffa, Bahrain",,,
2005-06-08,North Korea,FIFA World Cup qualification,2,0,W,"Bangkok, Thailand",,,
2005-06-16,Mexico,Confederations Cup,1,2,L,"Hanover, Germany",,,
2005-06-19,Greece,Confederations Cup,1,0,W,"Frankfurt, Germany",,,
2005-06-22,Brazil,Confederations Cup,2,2,D,"Cologne, Germany",,,
2005-07-31,North Korea,EAFF Championship,0,1,L,"Daejeon, South Korea",,,
2005-08-03,China,EAFF Championship,2,2,D,"Daejeon, South Korea",,,
2005-08-07,South Korea,EAFF Championship,1,0,W,"Daegu, South Korea",,,
2005-08-17,Iran,FIFA World Cup qualification,2,1,W,"Yokohama, Japan",,,
2005-09-07,Honduras,Friendly,5,4,W,"Rifu, Japan",,,
2005-10-08,Latvia,Friendly,2,2,D,"Riga, Latvia",,,
2005-10-12,Ukraine,Friendly,0,1,L,"Kyiv, Ukraine",,,
2005-11-16,Angola,Friendly,1,0,W,"Tokyo, Japan",,,
2006-02-10,United States,Friendly,2,3,L,"San Francisco, United States",,,
2006-02-18,Finland,Friendly,2,0,W,"Fukuroi, Japan",,,
2006-02-22,India,AFC Asian Cup qualification,6,0,W,"Yokohama, Japan",,,
2006-02-28,Bosnia and Herzegovina,Friendly,2,2,D,"Dortmund, Germany",,,
2006-03-30,Ecuador,Friendly,1,0,W,"Ōita, Japan",,,
2006-05-09,Bulgaria,Kirin Cup,1,2,L,"Osaka, Japan",,,
2006-05-13,Scotland,Kirin Cup,0,0,D,"Saitama, Japan",,,
2006-05-30,Germany,Friendly,2,2,D,"Leverkusen, Germany",,,
2006-06-04,Malta,Friendly,1,0,W,"Düsseldorf, Germany",,,
2006-06-12,Australia,FIFA World Cup,1,3,L,"Kaiserslautern, Germany",,,
2006-06-18,Croatia,FIFA World Cup,0,0,D,"Nuremberg, Germany",,,
2006-06-22,Brazil,FIFA World Cup,1,4,L,"Dortmund, Germany",,,
2006-08-09,Trinidad and Tobago,Friendly,2,0,W,"Tokyo, Japan",,,
2006-08-16,Yemen,AFC Asian Cup qualification,2,0,W,"Niigata, Japan",,,
2006-09-03,Saudi Arabia,AFC Asian Cup qualification,0,1,L,"Jeddah, Saudi Arabia",,,
2006-09-06,Yemen,AFC Asian Cup qualification,1,0,W,"Sana'a, Yemen",,,
2006-10-04,Ghana,Friendly,0,1,L,"Yokohama, Japan",,,
2006-10-11,India,AFC Asian Cup qualification,3,0,W,"Bengaluru, India",,,
2006-11-15,Saudi Arabia,AFC Asian Cup qualification,3,1,W,"Sapporo, Japan",,,
2007-03-24,Peru,Friendly,2,0,W,"Yokohama, Japan",,,
2007-06-01,Montenegro,Kirin Cup,2,0,W,"Fukuroi, Japan",,,
2007-06-05,Colombia,Kirin Cup,0,0,D,"Saitama, Japan",,,
2007-07-09,Qatar,AFC Asian Cup,1,1,D,"Hanoi, Vietnam",,,
2007-07-13,United Arab Emirates,AFC Asian Cup,3,1,W,"Hanoi, Vietnam",,,
2007-07-16,Vietnam,AFC Asian Cup,4,1,W,"Hanoi, Vietnam",,,
2007-07-21,Australia,AFC Asian Cup,1,1,D,"Hanoi, Vietnam",,,
2007-07-25,Saudi Arabia,AFC Asian Cup,2,3,L,"Hanoi, Vietnam",,,
2007-07-28,South Korea,AFC Asian Cup,0,0,D,"Palembang, Indonesia",,,
2007-08-22,Cameroon,Friendly,2,0,W,"Ōita, Japan",,,
2007-09-07,Austria,Friendly,0,0,D,"Klagenfurt, Austria",,,
2007-09-11,Switzerland,Friendly,4,3,W,"Klagenfurt, Austria",,,
2007-10-17,Egypt,Friendly,4,1,W,"Osaka, Japan",,,
2008-01-26,Chile,Friendly,0,0,D,"Tokyo, Japan",,,
2008-01-30,Bosnia and Herzegovina,Friendly,3,0,W,"Tokyo, Japan",,,
2008-02-06,Thailand,FIFA World Cup qualification,4,1,W,"Saitama, Japan",,,
2008-02-17,North Korea,EAFF Championship,1,1,D,"Chongqing, China",,,
2008-02-20,China,EAFF Championship,1,0,W,"Chongqing, China",,,
2008-02-23,South Korea,EAFF Championship,1,1,D,"Chongqing, China",,,
2008-03-26,Bahrain,FIFA World Cup qualification,0,1,L,"Riffa, Bahrain",,,
2008-05-24,Ivory Coast,Kirin Cup,1,0,W,"Toyota, Japan",,,
2008-05-27,Paraguay,Kirin Cup,0,0,D,"Saitama, Japan",,,
2008-06-02,Oman,FIFA World Cup qualification,3,0,W,"Yokohama, Japan",,,
2008-06-07,Oman,FIFA World Cup qualification,1,1,D,"Muscat, Oman",,,
2008-06-14,Thailand,FIFA World Cup qualification,3,0,W,"Bangkok, Thailand",,,
2008-06-22,Bahrain,FIFA World Cup qualification,1,0,W,"Saitama, Japan",,,
2008-08-20,Uruguay,Friendly,1,3,L,"Sapporo, Japan",,,
2008-09-06,Bahrain,FIFA World Cup qualification,3,2,W,"Riffa, Bahrain",,,
2008-10-09,United Arab Emirates,Friendly,1,1,D,"Niigata, Japan",,,
2008-10-15,Uzbekistan,FIFA World Cup qualification,1,1,D,"Saitama, Japan",,,
2008-11-13,Syria,Friendly,3,1,W,"Kobe, Japan",,,
2008-11-19,Qatar,FIFA World Cup qualification,3,0,W,"Doha, Qatar",,,
2009-01-20,Yemen,AFC Asian Cup qualification,2,1,W,"Kumamoto, Japan",,,
2009-01-28,Bahrain,AFC Asian Cup qualification,0,1,L,"Riffa, Bahrain",,,
2009-02-04,Finland,Friendly,5,1,W,"Tokyo, Japan",,,
2009-02-11,Australia,FIFA World Cup qualification,0,0,D,"Yokohama, Japan",,,
2009-03-28,Bahrain,FIFA World Cup qualification,1,0,W,"Saitama, Japan",,,
2009-05-27,Chile,Kirin Cup,4,0,W,"Osaka, Japan",,,
2009-05-31,Belgium,Kirin Cup,4,0,W,"Tokyo, Japan",,,
2009-06-06,Uzbekistan,FIFA World Cup qualification,1,0,W,"Tashkent, Uzbekistan",,,
2009-06-10,Qatar,FIFA World Cup qualification,1,1,D,"Yokohama, Japan",,,
2009-06-17,Australia,FIFA World Cup qualification,1,2,L,"Melbourne, Australia",,,
2009-09-05,Netherlands,Friendly,0,3,L,"Enschede, Netherlands",,,
2009-09-09,Ghana,Friendly,4,3,W,"Utrecht, Netherlands",,,
2009-10-08,Hong Kong,AFC Asian Cup qualification,6,0,W,"Shizuoka, Japan",,,
2009-10-10,Scotland,Friendly,2,0,W,"Yokohama, Japan",,,
2009-10-14,Togo,Friendly,5,0,W,"Miyagi, Japan",,,
2009-11-14,South Africa,Friendly,0,0,D,"Port Elizabeth, South Africa",,,
2009-11-18,Hong Kong,AFC Asian Cup qualification,4,0,W,"So Kon Po, Hong Kong",,,
2010-01-06,Yemen,AFC Asian Cup qualification,3,2,W,"Sana'a, Yemen",,,
2010-02-02,Venezuela,Friendly,0,0,D,"Ōita, Japan",,,
2010-02-06,China,EAFF Championship,0,0,D,"Tokyo, Japan",,,
2010-02-11,Hong Kong,EAFF Championship,3,0,W,"Tokyo, Japan",,,
2010-02-14,South Korea,EAFF Championship,1,3,L,"Tokyo, Japan",,,
2010-03-03,Bahrain,AFC Asian Cup qualification,2,0,W,"Toyota, Japan",,,
2010-04-07,Serbia,Friendly,0,3,L,"Osaka, Japan",,,
2010-05-24,South Korea,Friendly,0,2,L,"Saitama, Japan",,,
2010-05-30,England,Friendly,1,2,L,"Graz, Austria",,,
2010-06-04,Ivory Coast,Friendly,0,2,L,"Sion, Switzerland",,,
2010-06-14,Cameroon,FIFA World Cup,1,0,W,"Bloemfontein, South Africa",,,
2010-06-19,Netherlands,FIFA World Cup,0,1,L,"Durban, South Africa",,,
2010-06-24,Denmark,FIFA World Cup,3,1,W,"Rustenburg, South Africa",,,
2010-06-29,Paraguay,FIFA World Cup,0,0,D,"Pretoria, South Africa",,,
2010-09-04,Paraguay,Friendly,1,0,W,"Yokohama, Japan",,,
2010-09-07,Guatemala,Friendly,2,1,W,"Osaka, Japan",,,
2010-10-08,Argentina,Friendly,1,0,W,"Saitama, Japan",,,
2010-10-12,South Korea,Friendly,0,0,D,"Seoul, South Korea",,,
2011-01-09,Jordan,AFC Asian Cup,1,1,D,"Doha, Qatar",,,
2011-01-13,Syria,AFC Asian Cup,2,1,W,"Doha, Qatar",,,
2011-01-17,Saudi Arabia,AFC Asian Cup,5,0,W,"Al Rayyan, Qatar",,,
